,file,sentence
2329,common_voice_mn_20534170,Би усанд ормооргүй байна гэж гуйлаа.
2330,common_voice_mn_20534171,Тиймээс хоромхон зуур олон нийтийн танил болж чаджээ.
2331,common_voice_mn_20534172,Нэгдүгээрт нь чамд ямар муу зуршил байна?
2332,common_voice_mn_20534173,"Нуруугаар нь нийлүүлж оёсон, халзан толгойтой, аз жаргалгүй дүртэй хосын баримал бий."
2333,common_voice_mn_20534174,Алтан хатгамалтай хөх ягаан хувцас тань танд зохисон гэдэг нь ванлий!
2334,common_voice_mn_20534183,Амьд явахад алтан аяганаас ус ууна гэж үнэн юмаа.
2335,common_voice_mn_20534186,Буянт эхнэр та яаж танив?
2336,common_voice_mn_20534187,Чи хотод амьдрах болсноосоо хойш ямар байсан бэ?
2337,common_voice_mn_20534188,Гүн Парис яваагүйд би итгэлтэй байна.
2338,common_voice_mn_20534189,Түүнд орвол сүүлчийнхээ зоосыг архинаас өгсөн нь дээр!
2339,common_voice_mn_20534200,Тэгвэл санаа амар энэ хорвоогоос явахсан гэж бодогдоно.
2340,common_voice_mn_20534201,Гэхдээ бид хоёр санасныг бодоход товхийтэл амьдарна.
2341,common_voice_mn_20534202,Хүмүүст үнэтэй сургамжтай үг хэлнэ үү?
2342,common_voice_mn_20534208,"""Харин орой ажил дууссаны дараа буцаж ирээд, """"Цэрэгмаа чи харина биз дээ"""" гэж лавлалаа."""
2343,common_voice_mn_20534209,Надаас хойш нар чамд хань болно.
2344,common_voice_mn_20534229,Эртхэн сэргийлэхэд хэлье гээд л авгайгаа дагуулан гарч ирэхэд Баяраа байхгүй байсан гэнэ.
2345,common_voice_mn_20534241,Ихэнх шувууд үүнийг мэдээд авгалдайг иддэггүй байна.
2346,common_voice_mn_20534242,Миний төлөө үнэхээр ихийг хийж бүтээсэн.
2347,common_voice_mn_20534243,Өөрөөр хэлбэл Монголын цагдаагаас нэг дэд хурандаагийн гарз гарлаа.
2348,common_voice_mn_20534245,Найзууд нь түүнийг худлаа ярьсанд эвгүйцэн доош харан орох байх газраа олж ядав.
2349,common_voice_mn_20534255,Харин бид хоёр хоёулхнаа хамт үлдэх үед хүүхэлдэй маань тун хөгжилтэй болдог юм.
2350,common_voice_mn_20534259,"Би хүнд муу санаж, хар буруу юм хадгалж явдаг хүн биш."
2351,common_voice_mn_20534262,Эрүүл байвал бүх юмны арга олдоно.
2352,common_voice_mn_20534263,Ингэж золгон мэндчилдэг байсны ачаар монгол хүн есөн үеэ мэддэг байсан гэлцдэг.
2353,common_voice_mn_20534264,Хэрвээ энэ бейсболын тэмцээн шиг байсан бол энэ эрэгтэй ялагдагч юм.
2354,common_voice_mn_20534270,Авгайчуудаас болж маргалдах л дутаж гэнэ.
2355,common_voice_mn_20534271,Хүүхэн эргүүлдэггүй эрд хөөрхөн хүүхэн өөрөө хүрээд ирдэг юм уу?
2356,common_voice_mn_20534272,Миний хэдэн удаагийн хатуухан сорилтыг давсан хүн дээ.
2357,common_voice_mn_20534273,Жирмийн цагаан нуурын тойрон шувууд олноороо бууж ундаална.
2358,common_voice_mn_20534274,"Вирусээр дамжин орж ирсэн халдлага, сүлжээтэй холбогдсон халдлагууд бүгд цахим халдлагад багтана."
2359,common_voice_mn_20534295,Дэнсмаа баахан арга ядан байгаа бололтой дуугүй болов.
2360,common_voice_mn_20534296,Ердөө л ингэж харахын тулд амьд үлдсэн мэт.
2361,common_voice_mn_20534297,Гэхдээ л тэр жаахан сэтгэл гонсгор байв.
2362,common_voice_mn_20534302,Хэдэн хоног өнгөрөхөд шоргоолжнууд гарч ажлаа хийх ч хүсэл төрөлгүй биеэ оторлон гэртээ суув.
2363,common_voice_mn_20534304,Дараа нь ургац хураалтын үеэр хадуур эрдэнэ шиш хяргадаг шиг хяргана.
2364,common_voice_mn_20534320,Зочны өрөөний ханын цаг шөнийн хоёр цаг болсныг дохиолов.
2365,common_voice_mn_20534321,Чихэнд чимэггүй сэдэв хөндөж байгаадаа хүлцэл өчье.
2366,common_voice_mn_20534322,"Хараагийн голд хоноод, Бороогийн голд үлдэхээр явахад бага үдийн үе байв."
2367,common_voice_mn_20534323,"""Зүүн хүрээ буюу """"Дашчойлин"""" хийдийн нэрийг монголоор бол """"Өлзий хутагт номын хүрдэн"""" гэдэг."""
2368,common_voice_mn_20534324,Гэхдээ тэдний хэн нь ч үхэж байгаагүй.
2369,common_voice_mn_20534330,Тэр болгоныг цэвэрлэх гэж би зовж байна.
2370,common_voice_mn_20534331,Энэ ч лав аравдугаар ангийн сурагч байх аа гэж байна.
2371,common_voice_mn_20534332,Үхчихсэн хойно хүртэл гомдол тасардаггүй юм байна шүү дээ.
2372,common_voice_mn_20534333,Лизингээр эсвэл түрээслэх хөрөнгө хэрэгтэй эсэхийг урьдчилан бодсон уу?
2373,common_voice_mn_20534334,Ийм үед хүүхдийг зөв чиглүүлэн сэтгэл зүйн дэмжлэг туслалцаа үзүүлэх хэрэгтэй.
2374,common_voice_mn_20534339,Миний хийж чадах ажил мэргэжлийн дагуу захаас аван байгаад баяртай явдаг.
2375,common_voice_mn_20534342,Их Британи дахь улс төрийн хоёр гол хүч нь Уламжлалт ба Хөдөлмөрийн нам юм.
2376,common_voice_mn_20534348,Миний хийдэггүй муу зүйлсийг хар л даа.
2377,common_voice_mn_20534350,Харин нар бол өөрөөсөө гэрэл гаргадаг галт од юм.
2378,common_voice_mn_20534351,"Манайд байгаа хлорамфеникол, тетрациклин, эритромицин ч энэхүү жагсаалтад байгааг албаны эх сурвалж мэдээллээ."
2379,common_voice_mn_20534352,Дундад Азийн цайны түүхэн дэх их өөрчлөн шинэчлэлт Туркестан Төв Азийг колоничилж эхэлснээс үүдэлтэй.
2380,common_voice_mn_20534353,"Ажил, гэрийн хооронд чихэвчээр хичээлээ сонсоод, оройдоо бол групптээ англиар бичих зүйлээ бичээд явдаг."
2381,common_voice_mn_20534354,Аймгийн Намын хороонд Горькийн сургуульд явъя гээд өргөдөл өгсөн чинь зөвшөөрөөгүй.
2382,common_voice_mn_20534364,Гагцхүү үүний тулд өнөөдөртөө анхаарал хандуулах ёстой.
2383,common_voice_mn_20534365,Хотын хажууд огцом өндөр дов байдаг.
2384,common_voice_mn_20534366,Харж байна юу ч байхгүй байна.
2385,common_voice_mn_20534368,Очирбатын Дашбалбар гэж агуу хүн байлаа.
2386,common_voice_mn_20534369,Заримдаа зөвхөн бусдыг уучлах нь хангалтгүй байж болно.
2387,common_voice_mn_20534370,Унтлагын өрөөндөө орж бүтээлгийг хуу татан газар хаяв.
2388,common_voice_mn_20534371,Амь нас галт бөмбөгөн дээр байна гэсэн үг.
2389,common_voice_mn_20534372,Харин хэн нэгэнд тоогдоогүй хайрын шаналан насан туршид минь ч үргэлжилж мэдэх юм.
2390,common_voice_mn_20534383,Зургаан нас хүрч байгаа нэг хөөрхөн хүү бий.
2391,common_voice_mn_20534384,Хорвоогийн сонин сайхан зүйлийг ийнхүү өөрийн биеэр чөлөөтэй мэдэрсэн юм.
2392,common_voice_mn_20534385,Энэ явцад Монгол Улсын зүгээс төдийлөн идэвхтэй анхаарч ажиллаагүй юм.
2393,common_voice_mn_20534390,Хаян хаашаа ч юм алга болжээ.
2394,common_voice_mn_20534392,Гэхдээ нэгэнт өнгөрсөн хүнтэй ингэж тоглодог сталинч тоглоомыг Ворошилов сайн мэднэ.
2395,common_voice_mn_20534393,"Тус ч болсон, ус ч болсон ахыгаа л хөөдөхгүй юм сан гэж боддог болов."
2396,common_voice_mn_20534399,Та яаж тийм зүйрлэл олов оо.
2397,common_voice_mn_20534400,Шүлэг зохиолд ч бас өөрийн хувь тавилан байдаг бүлгээ.
2398,common_voice_mn_20534402,"""""""Та нарын арьсыг өвчвөл ямар вэ"""" гэж амьтны эрх ашгийг хамгаалагчид тулган асууж байлаа."""
2399,common_voice_mn_20534405,Хэлэх цаг нь болсон мэт зөн совин хөтөллөө.
2400,common_voice_mn_20534410,Энэхүү дутагдлыг малчин хөлсөлж авч арилгаж болох боловч үр дагавар нь тийм сайнгүй юм.
2401,common_voice_mn_20534411,Тус тусынхаа гаригт аз жаргалтай амьдарч байжээ.
2402,common_voice_mn_20534412,Наран улсаас айж сүрдсэндээ манай хоёр хүнийг суллан тавьсан болохоос...
2403,common_voice_mn_20534413,Малчид тохиролцоод өвөлжөө бууцаа ашиглах хэрэгтэй гэсэн зөвлөмжийг орон нутгийн удирдлагуудад өгчээ.
2404,common_voice_mn_20534414,"Амьдралд юм бүхэн мартагдаж, юм бүхэн өөрчлөгддөг нь цаг хугацааны ид шид юм даа."
2405,common_voice_mn_20534415,Үүнээс болоод их сургуульд ерөнхий боловсролын мэдлэг заах ч шаардлага гардаг.
2406,common_voice_mn_20534416,"Монголын эзэнт гүрний байдалд үзвэл, Юань улсын анхны хуанди Хубилай буюу Шизү хуанди байсан."
2407,common_voice_mn_20534417,Бадарчийн дүр үзүүлж алхахад барагдахын аргагүй хол газар юм байна.
2408,common_voice_mn_20534418,Саяын хөл хөгжөөн хаачив гэлтэй Чулуун нэг мэдэхэд ганцаархнаа зогсож байв.
2409,common_voice_mn_20534419,Энэ жил төрсөн таван гөлөг манай сурвалжлах багийнхныг очиход саравчны сүүдэрт хэвтэж байв.
2410,common_voice_mn_20534420,Улсад нэг хуанху байх бөгөөд Улсын эх гэсэн хүндэтгэлийн цолтойгоор гол ордонд заларч асан.
2411,common_voice_mn_20534421,Магадгүй хэн нэгэн таныг гомдоож гонсойлгох үл ойлголцох зүйл зөндөө тохиолдоно.
2412,common_voice_mn_20534422,Ямар мундаг том эр болоо вэ?
2413,common_voice_mn_20534423,"Дэлхийн олон орны хүмүүстэй танилцана, найзалж нөхөрлөнө, цуглуулгаа солилцоно, бас бэлэглэнэ."
2414,common_voice_mn_20534430,"Хэрэв тэднийг хүлцсэн гэж үзвэл, учрыг наанадаж доорх хоёр санаагаар ухаж ойлгож болох юм."
2415,common_voice_mn_20534431,Гунигтай ч орчлон юм даа гэж бодлоо.
2416,common_voice_mn_20534433,Түүнээс биш яах гэж ирэх билээ.
2417,common_voice_mn_20534438,Зөвлөлтийн үеийн ретро автомашинуудыг энд эргэн ашиглаж болохоор нөхцөлд хадгалдаг.
2418,common_voice_mn_20534439,Зарим хэрэгт өвс мэт доош дарагдах.
2419,common_voice_mn_20534440,Таны л мэдэх хэрэг шүү дээ.
2420,common_voice_mn_20534441,Тэр үед Хоббитаны эргэн тойронд тагнуул туршуулууд шиншилж байгааг би маш түргэн илрүүлсэн.
2421,common_voice_mn_20534442,Францад биеийн хүчээр ааглаж тоглохыг илүүд үздэг бол Испанид бөмбөг эзэмших чадварыг чухалчилдаг.
2422,common_voice_mn_20534443,Би зөвшөөрч байна гэж Сьюзен дохив.
2423,common_voice_mn_20534444,Би хар цагаан дуугүй ус ширтсээр явав.
2424,common_voice_mn_20534445,Бат хаан хээрийн сэнтий есөн давхар эсгий олбог дээр завилж суув.
2425,common_voice_mn_20534446,Бүхэл мах яаран үмхэлбэл хахахаас өөр юу хожиж байсан юм бэ.
2426,common_voice_mn_20534447,Шүлэг гэдэг хүний сэтгэлийн хөдөлсөн мөр бүхнээр утга уянгаар жигүүрлэн гүйсэн үгсийн цомнол.
2427,common_voice_mn_20534448,Энэхүү сургаалыг номлохыг хүссэн бүхэн дараах дөрвөн зүйлд онцгой анхаарах ёстой.
2428,common_voice_mn_20534449,Гэтэл эрийг нь цэргүүд тэр завсар нэгэнтээ алжээ.
2429,common_voice_mn_20534450,Сүүдэр нь бусад хүмүүсийнхээс арай л урт юм шиг.
2430,common_voice_mn_20534451,Ийм хагалгаа хийлгэсэн хүмүүс өвдөлтийн талаар нэг ч мэдээлэл өгсөнгүй.
2431,common_voice_mn_20534452,Чамд надаас өөр муу харагдах хүн алга уу?
2432,common_voice_mn_20534453,Хэдэн жилийн дараа Кюрегийнхэн физикийн ухааны Нобелийн шагналыг хүлээн авсан юм.
2433,common_voice_mn_20534454,Үнэхээр ч түүнд сайхан намтар бийг хожим би үнэн мөнөөр нь сонссон юм.
2434,common_voice_mn_20534456,Сахиус гэдэг нэг хүн ирэх юм биш биз?
2435,common_voice_mn_20534461,Ингээд олон мандаттай мажоритар системийг сонголоо.
2436,common_voice_mn_20534462,Харин мань хүн танихгүй хүмүүстэй хамт буцмааргүй санагдсан учир тэндээ үлдсэн.
2437,common_voice_mn_20534463,Тэдэнд онцгой анхаарал халамж хандуулах хэрэгтэй байсаар байхад хэн ч тоохгүй.
2438,common_voice_mn_20534464,Энэ бол Америкийн сайхан талуудын нэг байлаа.
2439,common_voice_mn_20534470,"Гэнэт хонх хоёр удаа удаан, хоёр удаа хурдан дуугарлаа."
2440,common_voice_mn_20534471,Хамгийн тохиромжтой газар бол хүмүүс уулзалт хийдэг газрууд.
2441,common_voice_mn_20534472,Хүүхдийн эрхийг зөрчсөн ямарваа нэгэн үйлдэл гарсан бол тусгай дугаарт мэдэгдэх боломжтой.
2442,common_voice_mn_20534473,Манай дарга ч миний үгнээс нэг их ам мурийдаггүй хүн.
2443,common_voice_mn_20534474,Намайг хайж байгаа бол дохионы түүдэг асаана.
2444,common_voice_mn_20534491,Эцсийн бүлэгт Монгол хүнд эх орноос сайхан орон гэж байдаггүй юм билээ.
2445,common_voice_mn_20534496,Одоо хэр түүхийн холбогдолтой жаал жуул юм цуглуулж явна даа гээд инээмсэглэв.
2446,common_voice_mn_20534497,Заримдаа дэлгүүрээс идэх юм хулгайлж ч байв.
2447,common_voice_mn_20534498,Та нарт дайн гэж юу байдгийг үзүүлнэ.
2448,common_voice_mn_20534499,Шөнө нь хүү унтсангүй ээжийгээ манаж хэвтэв.
2449,common_voice_mn_20534525,Үлгэр домог бүрийн цаана далд утга бий.
2450,common_voice_mn_20534526,Украйны Оксана Малаяа гэдэг нохойтой өссөн охины тухай мэдээлэл интернэтэд бий.
2451,common_voice_mn_20534528,Ширүүхэн гараар барихгүй бол толгой дээр гарч мэднэ.
2452,common_voice_mn_20534529,Хэдий болтол ч унтсан юм бүү мэд.
2453,common_voice_mn_20534540,Өнгөрсөн нь одоо байгаа бүхнийг нь няцааж байлаа.
2454,common_voice_mn_20534541,Өмнө монгол бичгийг цахим орчинд өргөн хүрээнд ашиглаж чадахгүй байсан.
2455,common_voice_mn_20534542,"Ердөө нуруугаар сэлэх, өврөөр сэлэх, эрвээхэй, чөлөөт сэлэлт гэчихэд л болох юм."
2456,common_voice_mn_20534545,Сонголт бол үргэлж баталгаатай байдаг зүйл биш.
2457,common_voice_mn_20534549,Арга мухардам тэр мөчид ийм зориг ухаан хоёр хэрхэн орж ирснийг бүү мэд.
2458,common_voice_mn_20534555,Ингээд би хэдэн зэрлэг ямаа барьж тэжээхээр шийдлээ.
2459,common_voice_mn_20534561,Ингээд бодохоор хүний нас гэдэг даанч богинохон ажээ.
2460,common_voice_mn_20534562,Харин тэгэхэд нь тэр хүн түүнд бардам зангаа ид дээ гэж хариулжээ.
2461,common_voice_mn_20534563,Энэ бачимдсан дуунд түүнийг бусдаас илүү хайрласан нэгэн сэтгэл шингэсэн байжээ.
2462,common_voice_mn_20534568,Тод мянганы ноёндоо зарга мэдүүлж гомдол гаргасныг эс тоож үзэв.
2463,common_voice_mn_20534585,"Тэгэхлээр, үүний суурь болсон үзэл онолын үндсэн дээр нөгөө нь аяндаа тодроод ирэх болдог."
2464,common_voice_mn_20534591,Бөртийн яаж тарчилж байгааг Чингис хаан мэдэрч байв.
2465,common_voice_mn_20534602,Хотод суурин ажилтай болгочихвол хань бүлтэй ч болохыг юу магад.
2466,common_voice_mn_20534613,Замд гал тэрэг шахалдан зөрж байв.
2467,common_voice_mn_20534627,Заг модны задгай галын цог их улаан байдаг тул майхан дотор гэрэлтэй байв.
2468,common_voice_mn_20534645,Магадлалын загварчлалын хүрээнд яриа танихад зориулсан магадлалын аргууд бий болов.
2469,common_voice_mn_20534647,Ойрын зургаа авчхаад линзээ солино гэвэл аппарат тоос шороонд дарагдаад гэмтэх аюултай.
2470,common_voice_mn_20534652,Тэгтэл юунаас болсныг мэдэхгүй нүдэнд нь нулимс хурсан билээ.
2471,common_voice_mn_20534663,Байрны тухайд бол дэмий ярьцгаахаа боль гэж хэл.
2472,common_voice_mn_20534667,Таны асуултад дурдаж байгаа нь зөвхөн монгол бичгийн фонтууд буюу хэрэглэгчдэд харагддаг хэсэг юм.
2473,common_voice_mn_20534705,Тэд лавтай мэргэлж чадахгүй тул хаан тэдний толгойг авна.
2474,common_voice_mn_20534706,Олсныгоо сайн харж аваад юу хийхээ бодно.
2475,common_voice_mn_20534707,Тэд хамгийн түрүүнд буусныг бэлэгшээж Конекбайн хот айл гайгүй сайн найр хийлээ.
2476,common_voice_mn_20534708,Тэр энерги миний биеэр цуснаас ч эрчтэй хурдан урсан эргэлдэж байсан.
2477,common_voice_mn_20534709,Та тэгээд үүнээс үүдэн ингэж дүгнэлт гаргасан хэрэг үү?
2478,common_voice_mn_20534725,Улс анхаарахгүй байхад гээд хаяж болох л байсан байх.
2479,common_voice_mn_20534726,Намайг орлогчийн хугацаанд зөрж чадахгүй гээд зориуд томилж байгаа юм.
2480,common_voice_mn_20534727,Гэвч танкийн хоёр хороо хохирлыг эс хайхран урагш дүүлсээр байна.
2481,common_voice_mn_20534728,Буугаар зангаж баруун тийш дохиход тэр зүг жолоогоо залав.
2482,common_voice_mn_20534729,Тэнд нэг эс сэрэхэд дараагийн зургаа дахь төвд хэдэн эс сэрнэ.
2483,common_voice_mn_20534736,Цэрэг эрийнхээ үүргийг биелүүлсэн цэргийн сэтгэл амарчээ.
2484,common_voice_mn_20534739,Нансал шиг намын уриалгаар явсан хүн бол дуун дээр...
2485,common_voice_mn_20534741,Энэ нь хүний нийгмийн хувьд ч ерөнхийдөө адилхан юм.
2486,common_voice_mn_20534743,Найз нь хэд хоногийн дараа усны шувуу шиг л эргээд ирнэ гэж тайтгарууллаа.
2487,common_voice_mn_20534744,Нэгэнт хажууд нь Бурхан байгаа болохоор хүмүүсийн шунал гүйцэгддэггүй байж гэнэ.
2488,common_voice_mn_20534755,Түүнд энэ нь зүгээр л хэрэггүй.
2489,common_voice_mn_20534756,Бүх хэрэг илэрч хамаг үнэнээ тоочихоос өөр гарах гарц явах замгүй боллоо.
2490,common_voice_mn_20534757,Одоохон уучлалт гуйхгүй бол эндээс зайл!
2491,common_voice_mn_20534758,"Тэр айлын үүдэнд очоод, ороход бэлдэж дээлээ засаж малгайгаа тэгшиллээ."
2492,common_voice_mn_20534759,Энэ чинь Цагаан дэл үү?
2493,common_voice_mn_20534770,Баян хүн гээд хэдэн давхар хувцас өмсөхгүй.
2494,common_voice_mn_20534771,Тус ноорогт элэг сунасан болохыг эмч нар тэмдэглэсэн байдаг.
2495,common_voice_mn_20534772,Өглөө болсон чинь Хайнзангийн зан өргөс авсан мэт хахь өөр болсон байв.
2496,common_voice_mn_20534773,Чулуун түүхийн холбогдолтой материал цуглуулахаар энэ суманд тэртээ холоос зорьж ирсэн нь аргагүй байлаа.
2497,common_voice_mn_20534774,Бидний бүгдийнх нь судсаар баатарлаг цус гүйж байдаг.
2498,common_voice_mn_20534784,Таны хийсэн бүхэн хайр энэрлээр дүүрэн байх учиртай.
2499,common_voice_mn_20534786,Болдоггүй Бор өвгөн нөгөө муу хоёр чөтгөрийг ирэхэд тогоо дүүрэн адууны сэвс буцалгаж байжээ.
2500,common_voice_mn_20534787,Германууд довтолгоо эхлэх гэж байгаа бол тэдний хувьд тохиромжтой шөнө байна.
2501,common_voice_mn_20534788,Дөрвөн хүний суудалтай зоогийн ширээ тэр хоёрыг хүлээж байлаа.
2502,common_voice_mn_20534789,Би ажилдаа л хамгийн их дуртай.
2503,common_voice_mn_20534803,Учир нь дараа хэзээ уулзах нь тодорхойгүй шүү дээ.
2504,common_voice_mn_20534806,Мария эгч болон хүргэн ахтайгаа тийм ч удаан амьдарсангүй.
2505,common_voice_mn_20534807,Юу ч хийж чадахгүй болтлоо хөшиж орхих үе байсан уу?
2506,common_voice_mn_20534808,Бид л тэгж дууддаг байсан юм.
2507,common_voice_mn_20534809,Цаашлаад энэ нь монгол болон гадаад хэлний орчуулгын программыг зохион бүтээхэд тулгуур болох юм.
2508,common_voice_mn_20534820,"Бас польшийн ард түмний ирээдүйн тухай төлөвлөж, түүндээ итгэж байв."
2509,common_voice_mn_20534821,Хятадууд урт наслалтаар дэлхийд хоёрдугаарт орсонд даяаршил нөлөөлсөн болов уу?
2510,common_voice_mn_20534822,Эдний нэр одоогийн хүн судлалын ухаанд илэрхий болсон том эрдэмтэд.
2511,common_voice_mn_20534824,"Өнөөх урлагийнхныгаа гаднын сайд ноёдын айлчлал, албан томилолт болохоор л урдаа барьдаг."
2512,common_voice_mn_20534840,Гэвч энэ янзаараа бол тэр бүтэхгүй юм шиг байна.
2513,common_voice_mn_20534841,Яг тэр өдөр шаргал үст ойгоор хэсүүчлэн явж байлаа.
2514,common_voice_mn_20534842,Өөрийн тухай бодол алдаатай байдаг учраас зэмлэл нь сэтгэлийн алдаатай байдал юм.
2515,common_voice_mn_20534843,"Ундрах хүж асаан, номын мөр дагуулан уншиж суужээ."
2516,common_voice_mn_20534844,Энэ нь цаашлаад судалгаанаас гарах үр дүнг үнэн бодтой байх эсэхэд нөлөөлж байна.
2517,common_voice_mn_20534855,Гэхдээ цагийг зохицуулах шийдвэрийг гаргахдаа анхаарал зүйл байдаг.
2518,common_voice_mn_20534856,Яагаад гэвэл энэ клуб танд зориулагдаагүй.
2519,common_voice_mn_20534857,"Ингэж үзэхэд, үгийн сан бол толгой үгийн жагсаалтаас өргөн агуулгатай, баялаг бүтэцтэй юм."
2520,common_voice_mn_20534858,Тэгээд хэзээ ирж авахы нь бичсэн тасалбар олголоо.
2521,common_voice_mn_20534859,Түүнтэй холбоогоо сэргээхэд надад туйлын хүнд байлаа.
2522,common_voice_mn_20534880,Энэ үдшийг болтол тэд хэзээ ч маргалдаж байсангүй.
2523,common_voice_mn_20534882,"Бидний ард морьдын төвөргөөн зөөлөн хөрсийг товшиж, адуу тургилах чимээ чийгт мананг цуулж ирэв."
2524,common_voice_mn_20534884,Дараа нь бидний залуу цагийнх шиг илдээ эргүүлэн хатгалцсан даа.
2525,common_voice_mn_20534886,"""Монгол хэлний """"хи"""" гэдэг язгуур бол ямарваа нэгэн юмыг заагладаг, салгадаг утгыг агуулдаг."""
2526,common_voice_mn_20534888,- Ээж надад аавыг удахгүй ирнэ гэж хэлсэн шүү дээ.
2527,common_voice_mn_20534890,Далд санаагаа харилцан мэдэхээ болиод хүн төрөлхтөн жаргасангүй.
2528,common_voice_mn_20534891,Залуу офицер хэсэг зуур бодол болон зогссоноо араас нь гарлаа.
2529,common_voice_mn_20534892,Харин өнөөдөр хүүхдээс мэдүүлэг авахыг бид зөвшөөрөхгүй.
2530,common_voice_mn_20534893,Та ядаж урагш нэг алхмыг хийх хэрэгтэй.
2531,common_voice_mn_20534895,"Сайн хүнд нөхөр олон, сайн моринд эзэн олон, сайн явдалд магтаал олон."
2532,common_voice_mn_20534900,Хэрэв тэр зорилгодоо хүрч чадвал өөрөө өөрөөрөө бахархах болно.
2533,common_voice_mn_20534902,Сэжигтний хариу үйлдэл түүнийг бүрэн илчилж байна гэжээ.
2534,common_voice_mn_20534904,Одоо танд цүнхний талаар нарийн утга учир бүхий тайлбарыг толилуулъя.
2535,common_voice_mn_20534911,Уг нь эр хүний л боддог бодол санж гээд инээмсэглэв.
2536,common_voice_mn_20534915,"Барилгын салбарт ажиллаж байгаа хятад ажилчны үнэлэмж, цалингийн үнэлгээг дахин авч хэлэлцэж магадгүй."
2537,common_voice_mn_20534917,"Мэргэч төлгөчөөр үзүүлэлгүй бол ийм үед горьгүй, гүрэм засал уншуулалгүй бол болдоггүй гэнэ."
2538,common_voice_mn_20534919,Энэ бол шүтлэгтэн хүний хувьд хамгийн чухал зүйл гэдэг нь судалгаанаас харагдаж байгаа юм.
2539,common_voice_mn_20534926,Одоо бид хоёр маш хүнд байдалд орлоо.
2540,common_voice_mn_20534927,Чи ахыг минь доромжилно гэнэ ээ!
2541,common_voice_mn_20534928,Тэрээр гоц хөөрхнөөс гадна үүлэн борооны ажилд түүнээс гаргуу хүүхнийг би үзээгүй.
2542,common_voice_mn_20534929,Надад яагаад ч юм энэ манан аймшигтай санагдаад байна гэж тэр хэллээ.
2543,common_voice_mn_20534935,Утсаар ярих нь дотор гадна чухал үүрэг гүйцэтгэдэг.
2544,common_voice_mn_20534936,Манай хаяг ч мөн л дөө.
2545,common_voice_mn_20534937,Манай улсад бараа экспортлогчид борлуулалтын гэрээ хэлэлцээртээ засвар оруулж эхэллээ хэмээн өгүүлэв.
2546,common_voice_mn_20534938,Нэгэнт манай нүсэр ажилд тустай болохоор энэ хүүхэнтэй унтаж болно.
2547,common_voice_mn_20534942,Нөгөө хүүхэд буцаж ирээд хотоос зайдуу дотуур байртай коллежид сурахаар шийдэв.
2548,common_voice_mn_20534946,Энэ нь шинэчлэлийн явцад аажимдаа боловсрохын хэрээр хэрэгжүүлэгч байгууллагууд үүсэж хөгждөг.
2549,common_voice_mn_20534947,Тиймээс үргэлж эерэг хариу үйлдэл хийхийн тулд хичээгээрэй.
2550,common_voice_mn_20534948,"Буг ч болсон, юу ч болсон би түүнтэй заавал уулзах ёстой гэсээр зүглэлээ."
2551,common_voice_mn_20534956,Тийм ээ гэж ноён Каннингем өгүүлэв.
2552,common_voice_mn_20534957,Таван жил цэргийн талх хорооно гэдэг хэцүүхэн давааны нэг гэж санаарай.
2553,common_voice_mn_20534958,Найз нөхдөдөө туслахаасаа өмнө өөрийнхөө юу хүсээд байгааг сайн тусгаж ойлгохыг бод.
2554,common_voice_mn_20534959,Хувь заяандаа эрдэж явсан бахархал минь гэнэтийн их гомдол гунигаар солигдов.
2555,common_voice_mn_20534966,Чиний энэ эгч гэж нэрлээд байгаа хүүхэд хэдэн настайг бид бүгд мэднэ!
2556,common_voice_mn_20534969,Би мориноосоо ойчсон болохоор хэн хэнд маань л золгүй явдал зэрэг тохиолдсон биш үү.
2557,common_voice_mn_20534972,Та намайг дурсан санаагүйд чинь би харамссан.
2558,common_voice_mn_20534975,Хөлөг онгоцны өрөөнд төгөлдөр хуур байна.
2559,common_voice_mn_20534978,Та үр хөндүүлэх гэж байгаа юм уу?
2560,common_voice_mn_20534985,Жирэмсэн ээжүүд ч анхаарлын төвд орж ирснийг бид өмнө нь онцолж байсан.
2561,common_voice_mn_20534986,Биднийг амьдралаас холдож байна гэж тэд яг л нохой болон илжиг шиг боддог.
2562,common_voice_mn_20534987,Тэд гэрээний сэтгэл гонсойлгосон үр дүнгийн тухайд хэд хэдэн боломжтой тайлбарыг санал болгож байна.
2563,common_voice_mn_20534988,Гэхдээ намайг үйлээ хийж дуустал түр хүлээ.
2564,common_voice_mn_20534989,Бас нэг давуу тал бол үгийнхээ утгыг тайлбар толиос нягтлан харж болно.
2565,common_voice_mn_20534995,"Хотын түгжрэл, утааг үл хайрхан машин импортлох, машин авах сонирхол өссөөр л байна."
2566,common_voice_mn_20534997,Энэ үед бас Кэйтлиний болзооны адал явдал надаас илүү туршлагатай болгосныг саналаа.
2567,common_voice_mn_20534998,Өнгө мөнгө харах явдал хүмүүсийн биесээ таних нүдийг хаадаг бололтой.
2568,common_voice_mn_20534999,"Анхны цайны ургамлыг Сига мужид суулгаж, улмаар Японы төв болон өмнөд мужуудад тархжээ."
2569,common_voice_mn_20535005,Төрөлх хот тань хэрхэн амьдарч байгааг уу?
2570,common_voice_mn_20535006,Эх хүн эмнэлгийн орон дээр үхлийн өмнө хэвтэж байхдаа олон зүйл боддог юм билээ.
2571,common_voice_mn_20535007,Ялангуяа эрчүүдийг бүр үзэн яддаг болчихсон юм.
